PERSON_ID,PLAYER_NAME,SALARY
1630173,Precious Achiuwa,2711280.0
203500,Steven Adams,17073171.0
1628389,Bam Adebayo,28103550.0
1630583,Santi Aldama,1994520.0
200746,LaMarcus Aldridge,2641691.0
1629638,Nickeil Alexander-Walker,3261480.0
1628960,Grayson Allen,4054695.0
1628386,Jarrett Allen,20000000.0
1630631,Jose Alvarado,
203937,Kyle Anderson,9937150.0
203507,Giannis Antetokounmpo,39344970.0
203648,Thanasis Antetokounmpo,1729217.0
2546,Carmelo Anthony,2641691.0
1630175,Cole Anthony,3449400.0
1628384,OG Anunoby,16071429.0
1627853,Ryan Arcidiacono,586136.0
201571,D.J. Augustin,7622467.0
1630166,Deni Avdija,4692840.0
1629028,Deandre Ayton,12632950.0
1628962,Udoka Azubuike,2075880.0
1628963,Marvin Bagley III,11312114.0
1630163,LaMelo Ball,8231760.0
1628366,Lonzo Ball,18604651.0
1628964,Mo Bamba,7568742.0
1630217,Desmond Bane,2033160.0
1630625,Dalano Banton,925258.0
203084,Harrison Barnes,20284091.0
1630567,Scottie Barnes,7280520.0
1629628,RJ Barrett,8623920.0
203115,Will Barton,15384615.0
1629646,Charles Bassey,925258.0
1628966,Keita Bates-Diop,1729217.0
201587,Nicolas Batum,12213507.0
203145,Kent Bazemore,2401537.0
1629647,Darius Bazley,2513040.0
203078,Bradley Beal,34502130.0
1627736,Malik Beasley,14391964.0
202722,Davis Bertans,16000000.0
201976,Patrick Beverley,14320988.0
1630180,Saddiq Bey,2824320.0
203920,Khem Birch,6350000.0
1629048,Goga Bitadze,3098400.0
202687,Bismack Biyombo,1366392.0
202357,Nemanja Bjelica,2089448.0
202339,Eric Bledsoe,18125000.0
1629833,Keljin Blevins,
203992,Bogdan Bogdanovic,18000000.0
202711,Bojan Bogdanovic,18700000.0
1629626,Bol Bol,2161152.0
1630195,Leandro Bolmaro,2353320.0
1629067,Isaac Bonga,1729217.0
1626164,Devin Booker,31610000.0
1630527,Brandon Boston,925258.0
1628449,Chris Boucher,7009615.0
1630547,James Bouknight,4154400.0
202340,Avery Bradley,2641691.0
1628396,Tony Bradley,1789256.0
1629649,Ignas Brazdeikis,
1628969,Mikal Bridges,5557725.0
1628970,Miles Bridges,5421493.0
1629052,Oshae Brissett,1701593.0
1627763,Malcolm Brogdon,21700000.0
